dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
Lightning7,0.3698630137,0.7397260274,0.3561643836,0.4383561644,0.1643835616,0.301369863,0.1917808219,0.1917808219,0.1369863014,0.6986301370000001,0.1232876712,0.2602739726,0.2602739726,0.7397260274,0.5068493151,0.5479452055,0.3287671233,0.7260273973,0.2739726027,0.2328767123
Meat,0.85,0.8833333333000001,0.6666666667000001,0.8666666667,0.55,0.65,0.4,0.33333333330000003,0.75,0.9666666667,0.9333333333,0.8166666667,0.8,0.9333333333,0.8333333333,0.85,0.6333333333,0.85,0.5,0.33333333330000003
MoteStrain,0.46485623000000004,0.9448881789,0.7316293930000001,0.6182108626,0.42891373800000004,0.892172524,0.7795527157000001,0.7843450479,0.5455271565,0.9177316294000001,0.4760383387,0.7252396166,0.8722044728,0.8722044728,0.8777955272,0.8865814696000001,0.6637380192,0.9528753994,0.7795527157000001,0.8115015974
MotorImagery,0.44,,,,,,,,,,,,0.5700000000000001,0.47000000000000003,0.54,0.55,0.49,0.54,0.5,0.54
NATOPS,0.2111111111,0.8333333333,0.28888888890000003,0.3444444444,0.15,0.2222222222,0.1611111111,0.1722222222,,,,,0.1944444444,0.8055555556,0.2944444444,0.4388888889,0.1833333333,0.8333333333,0.3111111111,0.4777777778
NonInvasiveFetalECGThorax1,0.4549618321,0.8203562341,0.3832061069,0.6173027990000001,,,,,0.5297709924,0.3323155216,0.6661577608,0.5933842239,0.8050890585,0.8722646310000001,0.7949109415000001,0.7969465649,0.0244274809,0.9002544529000001,0.1811704835,0.2132315522
NonInvasiveFetalECGThorax2,0.3119592875,0.8529262087,0.6681933842000001,0.5262086514000001,,,,,0.2860050891,0.568956743,0.7201017812,0.7648854962,0.8590330789,0.9002544529000001,0.8422391858,0.8208651399,0.0234096692,0.9221374046,0.0748091603,0.11043257000000001
OliveOil,0.36666666670000003,0.8666666667,0.8666666667,0.9333333333,0.2,0.5666666667,0.2,0.4,0.6666666667000001,0.9,0.9333333333,0.9,0.7333333333000001,0.8666666667,0.8,0.9,0.1333333333,0.9,0.1666666667,0.30000000000000004
PEMS-SF,,,,,,,,,,,,,0.9421965318000001,0.9826589595,0.9595375723,0.9595375723,,,,
Phoneme,0.17088607590000002,0.3143459916,0.2194092827,0.25158227850000003,0.0142405063,0.016877637100000002,0.0137130802,0.0137130802,0.18565400840000001,0.2768987342,0.2056962025,0.2283755274,0.13132911390000002,0.1983122363,0.1793248945,0.19514767930000002,0.2125527426,0.302742616,0.2420886076,0.2768987342
PigAirwayPressure,0.1538461538,0.9278846154,0.2259615385,0.2403846154,,,,,0.1346153846,0.7932692308,0.2019230769,0.4230769231,0.0961538462,0.2211538462,0.1057692308,0.0865384615,0.2932692308,0.6394230769,0.4038461538,0.3942307692
PigArtPressure,0.9807692308,0.9807692308,0.9951923077,0.9855769231,,,,,0.8846153846,0.9615384615,0.9182692308,0.9615384615,0.1682692308,0.4038461538,0.2211538462,0.2788461538,0.9423076923,1.0,0.9711538462,0.9663461538
PigCVP,0.75,0.9519230769,0.8894230769,0.9375,0.0144230769,,0.033653846200000004,,0.3365384615,0.7644230769,0.4423076923,0.7307692308,0.1490384615,0.2788461538,0.1682692308,0.1730769231,0.4663461538,0.9326923077,0.625,0.8317307692
Plane,0.2380952381,1.0,0.1619047619,0.44761904760000004,0.3523809524,1.0,0.2952380952,0.5142857143,0.2476190476,1.0,0.5333333333,0.619047619,0.9142857143,0.9904761905,0.980952381,0.9619047619000001,0.1619047619,1.0,0.1619047619,0.8857142857
PowerCons,0.5777777778000001,0.9222222222,0.6833333333,0.7722222222,0.6444444444,0.9944444444,0.6222222222,0.6833333333,0.5555555556,0.9388888889,0.5055555556,0.6611111111,0.7555555556,0.9944444444,0.7666666667,0.7944444444000001,0.5388888889,0.9611111111,0.5611111111,0.6055555556000001
RacketSports,0.25657894740000003,0.8092105263,0.23026315790000002,0.2828947368,0.3552631579,0.4342105263,0.2960526316,0.33552631580000003,,,,,0.6052631579000001,0.9013157895,0.6973684211000001,0.7960526316000001,0.3552631579,0.875,0.3684210526,0.4407894737
RefrigerationDevices,0.5226666667000001,0.544,0.4666666667,0.5093333333,0.4,0.46133333330000004,0.432,0.49066666670000003,0.5093333333,0.56,0.4746666667,0.52,0.528,0.5866666667,0.536,0.5333333333,0.384,0.504,0.4186666667,0.4506666667
Rock,0.44,0.9,0.44,0.58,0.30000000000000004,0.46,0.30000000000000004,0.26,0.26,0.88,0.24,0.30000000000000004,0.48,0.74,0.56,0.62,0.24,0.8,0.42,0.18
ScreenType,0.40800000000000003,0.4933333333,0.43466666670000004,0.4373333333,0.3653333333,,0.32,,0.352,0.4853333333,0.392,0.40800000000000003,0.3946666667,0.43466666670000004,0.41600000000000004,0.4453333333,0.448,0.5333333333,0.4106666667,0.44
SelfRegulationSCP1,0.6348122867,0.7849829352000001,0.6655290102,0.6825938567000001,,,,,,,,,0.7542662116000001,0.7986348123,0.8464163823,0.843003413,0.6518771331000001,0.7986348123,0.8737201365,0.7986348123
SelfRegulationSCP2,0.4944444444,0.5277777778,0.55,0.5944444444,0.4388888889,,,,,,,,0.5277777778,0.4777777778,0.5333333333,0.5388888889,0.4944444444,0.6055555556000001,0.5333333333,0.5888888889
SemgHandGenderCh2,0.6883333333,0.8816666667,0.65,0.7716666667000001,,,,,0.3533333333,0.8116666667,0.6716666667,0.84,0.765,0.9283333333,0.9016666667000001,0.8916666667,0.65,0.7883333333,0.6583333333,0.6516666667000001
SemgHandMovementCh2,0.1755555556,0.6444444444,0.1666666667,0.1822222222,,,,,0.2155555556,0.4733333333,0.3644444444,0.3533333333,0.5511111111,0.8444444444,0.6222222222,0.7155555556000001,0.1755555556,0.2955555556,0.1666666667,0.1911111111
SemgHandSubjectCh2,0.2822222222,0.7533333333000001,0.2511111111,0.38444444440000003,,,,,0.3111111111,0.5822222222,0.5133333333,0.5888888889,0.6266666667,0.9133333333,0.7777777778,0.7822222222,0.2,0.64,0.2,0.3111111111
SmallKitchenAppliances,0.7253333333,0.7786666667000001,0.712,0.68,0.368,,0.4293333333,0.3733333333,0.45333333330000003,0.7813333333,0.3546666667,0.456,0.6666666667000001,0.8293333333,0.6666666667000001,0.6533333333,0.5786666667,0.72,0.6613333333,0.544
