dataset,CBoss_10,CBoss_100,CBoss_20,CBoss_30,PForest_10,PForest_100,PForest_20,PForest_30,ST_10,ST_100,ST_20,ST_30,TSF_10,TSF_100,TSF_20,TSF_30,WEASEL_10,WEASEL_100,WEASEL_20,WEASEL_30
EthanolConcentration,0.8235557545890664,0.25837320571573674,0.6832937450483652,0.5715839072058551,,,,,0.8276405675244523,0.4371584699335753,0.6962488563614637,0.5894357743034322,0.8295008412770395,0.2674698794866145,0.7038499506447852,0.5998311523791523,0.8240952817227977,0.39153439154838043,0.6846339501196885,0.5864513588111233
EthanolLevel,0.8242718446601942,0.28865979381443296,0.6847457627118644,0.5754385964912281,,,,,0.8259067357512954,0.21802679658952495,0.6970873786407767,0.589075630252101,0.8273972602739725,0.28865979381443296,0.6925925925925925,0.5829268292682928,0.8235849056603773,0.3280212483399735,0.6843881856540084,0.5717557251908397
FaceDetection,,,,,,,,,,,,,,,,,0.8201011924891942,,0.6944444444444444,0.6165022319472828
FingerMovements,0.8307692307692307,0.39860139860139865,0.7159420289855072,0.6222222222222222,,,,,,,,,0.8298507462686567,0.33333333333333337,0.7176470588235293,0.625,0.8338983050847457,0.4184397163120568,0.7159420289855072,0.625
FordA,0.8546583850945257,0.5742397137182742,0.8227848101209421,0.7914332784597228,,,,,0.8303797468369812,0.3814756672159775,0.7141621621552507,0.6417090539155983,0.852589641434682,0.6858237547375993,0.7751243781164229,0.7394285714305111,0.8664987405447759,0.9340659340489312,0.7981238273861726,0.8848979591995069
FordB,0.8472303207023247,0.45031333927962824,0.7696335078431896,0.7149028077597348,,,,,0.834763948496362,0.3670886075603269,0.7096446700552139,0.6462837837941843,0.8397058823532331,0.5211267605805199,0.7355648535542165,0.6650909090827153,0.8434316353850139,0.6927899686255049,0.7820224719264739,0.6660583941513593
FreezerRegularTrain,0.8333333333333333,0.9930069930662258,0.9579277865469762,0.9979020978602867,0.8510295434148494,0.856072940494904,0.7176470588235293,0.8625788999306844,0.8336680448918203,0.997896950536322,0.9224893918464978,0.9979020978602867,0.953225806439256,0.9826086957004462,0.9972125434986464,0.9972060534950217,0.8333333333333333,0.9607843137254901,0.9060402684235125,0.7214285714285715
FreezerSmallTrain,0.8334114888644037,0.946056674719354,0.9252496433411003,0.9958188152479697,0.8404542228540921,0.5493340581469242,0.7216000000077825,0.7128048780440122,0.8326460481124898,0.999298491743253,0.8893401014916321,0.9972060534950217,0.8935960591248271,0.7251815980838401,0.969529983741637,0.9965116278376152,0.8333333333333333,0.923076923076923,0.8727272727582646,0.6681651855625867
Fungi,0.8196202531647432,,0.6691449814133463,0.5425894378191779,0.8192148760322042,0.841584158375728,0.6739562624259618,0.5763962065378399,,,,,0.8202614379083643,0.8979591836018118,0.6874265569956782,0.6205533596724617,0.8191161356636252,0.9175257731741312,0.6701225259161024,0.545691906001418
Ham,0.8325581395341266,0.5000000000375001,0.7135135135073776,0.6210526315750693,0.8330708661396491,0.5441176471042388,0.7183098591532633,0.6236686390426666,0.8325581395341266,0.6153846153784024,0.71199999999776,0.6347826086854442,0.8392523364504323,0.640625000064087,0.7787234042629244,0.7176470588048444,0.8341463414642475,0.4788732394157905,0.7166666666690973,0.6210526315750693
HandMovementDirection,0.8249158249159088,0.22314049589405105,0.6802168021678043,0.574803149611346,0.8222891566264389,0.2333333333497778,0.6848137535855501,0.5897435897533202,,,,,0.824104234528551,0.3831775701374094,0.6913580246888202,0.5771276595772946,0.8233438485792635,0.22314049589405105,0.6802168021678043,0.5600961538496174
Handwriting,0.8188470066516758,0.3036809815601006,0.656539050534425,0.5556459816934582,,,,,0.8188470066516758,0.22038765255721748,0.6569317598792284,0.5507389162509597,0.8205314009653157,0.18384401114618332,0.6693031566429852,0.5752577319637817,0.8188679245283019,0.18302018092838201,0.6557655381479012,0.5429906542069438
Heartbeat,0.8529032258047451,0.5648854961682741,0.7673469387712412,0.7140425531954984,,,,,,,,,0.8529032258047451,0.5769230769564349,0.7708333333431207,0.719480519506797,0.8515723270505122,0.589147286778589,0.7802197802296824,0.7222707423383765
HouseTwenty,0.8322056833538816,0.950819672195109,0.7911646586153449,0.8143133462402605,0.8611825192806775,0.8167938931866325,0.7737226277299349,0.7117903929967621,0.8433515482710023,0.7246376812281559,0.7874015748042563,0.7915904936408363,0.8795986622078903,0.6879432623826167,0.8993710691334362,0.8586723768618756,0.8918918919018262,0.9349593495525943,0.9194630872065133,0.8901601830080359
InsectEPGRegularTrain,0.9561128526635981,1.0,0.9223300970670374,1.0,1.0,1.0,0.992125984169375,1.0,0.826933477556324,0.9761904761340138,0.6963249516386975,0.5942782834842877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectEPGSmallTrain,0.9084967320247256,1.0,1.0,0.9229871645689185,0.992277992198557,1.0,0.877437325861629,0.9768339767805252,0.826933477556324,0.9453124999984803,0.6958614051985045,0.5934397928258788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.8197211155386539,0.3812347401272238,0.6774193548412071,0.5815588385150706,,,,,0.8197112991547105,0.44842721288338516,0.6762638420791887,0.5608303249085861,0.8309859154907756,0.446311176070487,0.7264166001652668,0.6641957005239949,0.8204651162784986,0.467210077840299,0.6888888888888889,0.5926486486576042
ItalyPowerDemand,0.8065610859692735,0.7989510489672459,0.6640102008351331,0.7485131690531643,0.8098506257588508,0.9215686275074971,0.7267518730668411,0.6003769344913452,0.8046663049381471,0.91441860469515,0.6674259680994235,0.6708617094167626,0.8252068297765733,0.9269662922008681,0.7287683414834769,0.7243584461172572,0.8065610859692735,0.865820489535152,0.6669912366008882,0.5873270363556014
LSST,0.8028363040799003,0.3409461664081236,0.666636885082149,0.5613199383637385,,,,,,,,,0.8153483468210008,0.3373101951878785,0.6859996199536462,0.5930148201910282,0.8139990656663377,0.4152080344655287,0.6883021950928445,0.5857222593206926
LargeKitchenAppliances,0.8344827586206897,0.6268980477664561,0.7153846153901627,0.6307692307692307,0.8281425891168789,0.2755102040816326,0.6967741935444849,0.6017937219730942,0.8266429840130265,0.5000000000375001,0.6934579439252336,0.5893408134575968,0.833112582781457,0.39925373137591547,0.711111111111111,0.6173913043478261,0.8249584026632678,0.524390243902439,0.6909090909090909,0.5856946354946937
Libras,0.8028301886792453,0.7061611374731027,0.6455795677808014,0.5459033613402121,0.8033190578153465,0.03448275863852557,0.6423440453655068,0.5147058823482697,0.8038293216619768,0.7647058824048443,0.6486266531045499,0.5396130346252508,0.8133027522920503,0.6744186047134668,0.7120418848087936,0.6797227036454025,0.8047781569957413,0.7647058824048443,0.658663646660234,0.5844139650903293
Lightning2,0.8357771261024346,0.5844155843744309,0.7244897959221783,0.637149028091071,0.8304239401487155,0.7183098591984924,0.7311827956932824,0.637149028091071,0.8357771261024346,0.5443037974839929,0.7079646017637011,0.622718052741499,0.8357771261024346,0.5443037974839929,0.7426900584807838,0.7024793388496415,0.8357771261024346,0.506172839459686,0.7311827956932824,0.6658595641755923
Lightning7,0.8273921200750983,0.5869565217425803,0.6948051948095042,0.6089030206717121,0.8213762811117364,0.17741935482921434,0.679347826085555,0.5624227441259437,0.8207681365582602,0.5368421052793353,0.6743002544506576,0.5731225296438126,0.8238172920064476,0.5869565217425803,0.715415019768092,0.6393442623016214,0.8259325044409118,0.5698924731672332,0.6863905325406725,0.5686777920365311
Meat,0.88,0.7910447760659391,0.750000000009375,0.815384615416568,0.8363636363636363,0.4814814814814815,0.7,0.5862068965453032,0.8571428571428571,0.9354838710301769,0.8999999999625,0.7724137931291319,0.8666666666666667,0.8749999999414062,0.8181818181619835,0.8,0.8428571428540816,0.7391304347826086,0.7142857142857142,0.5862068965453032
MoteStrain,0.8314889336000257,0.8955336865763791,0.7643758765889226,0.6518255485668337,0.8298024279924836,0.8053352560105668,0.7849031396340024,0.7423356793344206,0.8360702967412326,0.8479704797167988,0.7001697645130118,0.7043403523772764,0.8877980364488913,0.7733711047475416,0.8454991344836582,0.8325224826243378,0.8458440131852076,0.9099923723060317,0.7849031396340024,0.7627544608849082
MotorImagery,0.8303030303030303,,,,,,,,,,,,0.8377358490566038,0.30718954248366015,0.7212121212121212,0.6400000000000001,0.8327868852459016,0.36986301369863017,0.7142857142857142,0.6368421052631579
NATOPS,0.8069221260812494,0.7142857142367347,0.6757539203871623,0.5790563866421607,0.8052083333333333,0.12499999998593747,0.6640889830499568,0.5489257812467007,,,,,0.8064320388336683,0.6744186047134668,0.6763349514516342,0.6006377551048552,0.8061151079127297,0.7142857142367347,0.6781211372052148,0.6109479305802656
NonInvasiveFetalECGThorax1,0.8310059171616346,0.6954270923257206,0.6979439252372148,0.6636600820046427,,,,,0.8350736278467781,0.19926762280526122,0.7498570066690219,0.6547353258845532,0.8678170836872798,0.7734657039030937,0.7974874371977144,0.7578148710270084,0.818594748047984,0.8186024987997882,0.6785214785245182,0.5656286583994806
